audio,text,Pilot Reply,Message Label
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_159.wav,britannia two three six alfa call zurich on one three three decimal four good day ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_114.wav,delta india mike lima lima good morning radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_156.wav,lufthansa three six three eight direct trasadingen ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_161.wav,sabena nine three six nine rhein ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_141.wav,tschuss ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_040.wav,india tango alfa sierra alfa call rhein on one two seven three seven good day ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_081.wav,viva five eight five roger is copied descend to flight level two eight zero and ah proceed now direct to warburg whiskey romeo bravo ,"Acknowledged, proceeding as planned.",Descend Instruction
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_036.wav,alitalia one one seven good morning radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_149.wav,buongiorno alitalia one five seven radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_151.wav,alitalia one four nine direct trasadingen ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_165.wav,alitalia one five ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_038.wav,air georgia zero three seven radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_023.wav,swissair nine three five two call rhein on one two seven three seven good day ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_121.wav,britannia triple two alfa contact rhein on one three two four ,"Switching to the mentioned frequency, thank you.",Frequency Change
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_053.wav,sobelair two five five seven now turn right direct kempten ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_135.wav,ah good morning speedbird one two two radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_120.wav,gulf air zero zero seven call rhein on one two seven three seven good day ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_086.wav,belstar five two six hotel good morning radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_136.wav,midland seven two zero guten tag radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_037.wav,hapag lloyd six five three contact zurich on one three four decimal six ,"Switching to the mentioned frequency, thank you.",Frequency Change
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_132.wav,oscar hotel india call rhein on one three two four ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_052.wav,swissair six five two zero contact rhein on one two seven three seven ,"Switching to the mentioned frequency, thank you.",Frequency Change
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_162.wav,nine three six nine now call zurich on one three four decimal six ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_072.wav,viva five eight five report your heading ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_108.wav,alitalia four eight seven good morning radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_088.wav,sabena eight three two likewise direct to gotil ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_113.wav,lufthansa four four one six direct to trasadingen ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_057.wav,olympic one four four call rhein on one three two decimal four ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_154.wav,jet set four nine seven radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_084.wav,alitalia four zero one climb to level two seven zero direct to trasadingen ,"Acknowledged, proceeding as planned.",Climb Instruction
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_150.wav,speedbird one two two call rhein on one two seven three seven ,"Acknowledged, proceeding as planned.",Speed Adjustment
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_010.wav,swissair nine three five two continue climb to level three five zero ,"Acknowledged, proceeding as planned.",Climb Instruction
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_039.wav,malaysian two call rhein on one two seven three seven good day ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_078.wav,jet set one four two nine call rhein on one two seven three seven good day ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_128.wav,hapag lloyd three five five one zurich on one three three decimal four ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_127.wav,lufthansa three five five six good morning continue present heading and climb to level two nine zero ,"Acknowledged, proceeding as planned.",Climb Instruction
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_055.wav,air malta zero zero four roger fly heading zero two five ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_164.wav,lufthansa three six three eight climb to level three three zero ,"Acknowledged, proceeding as planned.",Climb Instruction
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_012.wav,speedbird one five six call rhein on one two seven three seven ,"Acknowledged, proceeding as planned.",Speed Adjustment
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_025.wav,malaysian two radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_050.wav,transwede one zero seven climb to level three one zero ,"Acknowledged, proceeding as planned.",Climb Instruction
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_024.wav,swissair six five two zero proceed direct to frankfurt ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_066.wav,alitalia one one seven call zurich on one three three decimal four good day ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_085.wav,~k ~l ~m two six four turn left to nattenheim ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_163.wav,hapag lloyd one three seven guten tag radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_076.wav,lufthansa four six five two radar contact climb to level two nine zero ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_061.wav,~k ~l ~m two six four guten tag radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_041.wav,olympic one four four in radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_067.wav,jet set eight one seven call rhein on one two seven three seven good day ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_143.wav,sabena nine three six nine proceed direct to fribourg ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_148.wav,europa three six three rhein one two seven three seven ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_028.wav,leisure six zero two four radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_160.wav,delta india mike lima lima contact milano on one three four five two ,"Switching to the mentioned frequency, thank you.",Frequency Change
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_054.wav,air malta zero zero four report your heading ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_017.wav,india sierra alfa guten tag radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_058.wav,sabena seven eight one six is in radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_109.wav,belstar five two six hotel call rhein on one three two decimal four ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_106.wav,belstar five zero two hotel good morning you're in radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_146.wav,lufthansa three five five six zurich on one three four six ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_095.wav,welcome viva five eight five call us now on one two seven three seven good day ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_044.wav,leisure six zero two four call rhein on one two seven three seven ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_119.wav,oscar oscar papa hotel india radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_079.wav,~k ~l ~m three hundred kilo rhein one two seven three seven good day ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_099.wav,lufthansa four four one six guten tag radar contact continue present heading i'll call you back for higher ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_124.wav,alitalia two nine two is in radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_111.wav,alitalia four zero one call zurich on one three four six ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_110.wav,good bye ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_075.wav,viva five eight five roger turn right heading zero three five ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_060.wav,~k ~l ~m three hundred kilo turn left inbound in nattenheim ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_047.wav,good morning air malta zero zero four radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_046.wav,jet set eight one seven is in radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_142.wav,alitalia one four nine for shortcut right one five degrees ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_064.wav,sabena eight three two radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_087.wav,sabena seven eight one six proceed direct to gotil ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_019.wav,lufthansa eight two six eight heading one eight zero ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_011.wav,lufthansa eight two six eight continue present heading ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_094.wav,aero lloyd five nine zero call zurich on one three four six ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_015.wav,roger ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_122.wav,lufthansa four four one six zurich on one three four decimal six ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_051.wav,georgia zero three seven call rhein on one two seven three seven ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_074.wav,viva five eight five report your heading ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_139.wav,sabena eight zero one radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_131.wav,lufthansa three five five six direct to trasadingen ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_092.wav,air malta zero zero four rhein one two seven three seven ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_134.wav,ciao ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_130.wav,britannia two two six alfa radar con= correction two three six alfa radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_101.wav,sabena seven eight one six contact rhein on one two seven three seven ,"Switching to the mentioned frequency, thank you.",Frequency Change
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_002.wav,speedbird one five six radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_014.wav,lufthansa eight two six eight what's your rate of climb ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_137.wav,alitalia one four nine radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_070.wav,buongiorno alitalia four eight five in radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_158.wav,alitalia four six five roger ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_103.wav,britannia triple two alfa radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_013.wav,sabena eight three eight radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_090.wav,roger ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_032.wav,transwede one oh one call zurich on one three three four good day ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_003.wav,transavia three eight one call zurich on one three four six ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_062.wav,ah jet set one four two nine good morning radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_020.wav,[EMPTY] ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_021.wav,hapag lloyd six five three in radar contact climb to level two nine zero ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_112.wav,alitalia four eight five you call zurich on one three three four good day ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_065.wav,transwede one zero seven call zurich on one three four six good day ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_048.wav,sobelair two five five seven turn further left heading ah one zero zero ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_093.wav,alitalia four zero one now continue climb to level two nine zero ,"Acknowledged, proceeding as planned.",Climb Instruction
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_116.wav,europa three six three good morning squawk ident ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_082.wav,<FL> </FL> ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_140.wav,netherlands air force three five call rhein on one three two decimal four ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_031.wav,sabena eight three eight call rhein on one two seven three seven ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_026.wav,fox sierra india climb to level three seven zero ,"Acknowledged, proceeding as planned.",Climb Instruction
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_029.wav,lufthansa eight two six eight call zurich on one three four decimal six ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_068.wav,alitalia one one nine radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_059.wav,transwede one zero seven climb to level three three zero ,"Acknowledged, proceeding as planned.",Climb Instruction
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_005.wav,transwede one zero one radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_100.wav,lufthansa four six five two zurich one three four six ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_007.wav,swissair nine three five two roger radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_153.wav,condor two one eight guten tag radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_157.wav,swissair seven eight three romeo radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_138.wav,sabena nine three six nine for shortcut turn right twenty degrees ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_107.wav,lufthansa four four one six climb to flight level two nine zero ,Climbing to requested flight level.,Climb Instruction
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_125.wav,turkair five one five call rhein on one two seven three seven good day ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_080.wav,go ahead sir ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_089.wav,viva five eight five what's the descend rate ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_018.wav,sabena four eight one turn to dinkelsbuhl contact rhein one three two decimal four ,"Switching to the mentioned frequency, thank you.",Frequency Change
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_006.wav,india oscar kilo call rhein on one two seven three seven good day ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_001.wav,good morning sabena four eight one radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_145.wav,good morning lufthansa three six three eight climb to flight level two seven zero ,Climbing to requested flight level.,Climb Instruction
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_118.wav,and europa three five three is identified correction europa three six three ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_097.wav,hapag lloyd three five five one guten tag radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_115.wav,turkair five one five in radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_083.wav,alitalia four zero one rhein ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_035.wav,transwede one zero seven good morning in radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_147.wav,midland seven two zero rhein one two seven three seven ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_027.wav,lufthansa eight two six eight direct to trasadingen ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_022.wav,transwede one oh one proceed present position direct to hochwald ho= hotel oscar charlie and thereafter st prex ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_144.wav,delta papa alfa call milano on one three four five two ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_042.wav,sobelair two five five seven good morning radar contact ah for separation turn left ten degrees ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_096.wav,~k ~l ~m two six four call rhein on one two seven three seven good day ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_030.wav,constellation two two five one radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_104.wav,and britannia triple two alfa set course for kempten ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_045.wav,constellation ah two two five one call rhein on one three two four ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_063.wav,aero lloyd five nine zero climb to level two nine zero ,"Acknowledged, proceeding as planned.",Climb Instruction
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_105.wav,alitalia one one nine call zurich on one three four decimal six ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_049.wav,good afternoon viva five eight five in radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_043.wav,~k ~l ~m three hundred kilo radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_033.wav,fox sierra india call zurich on one three three four ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_129.wav,sabena nine three six nine radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_01/sm3_01_004.wav,[EMPTY] ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_02/sm3_02_037.wav,air malta zero zero four turn left one five degrees ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_02/sm3_02_090.wav,and sierra alfa fox one one two continue on present heading ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_02/sm3_02_061.wav,german air force five eight five and fly heading three six zero ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_02/sm3_02_111.wav,alitalia four zero one call zurich on one three four decimal six ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_02/sm3_02_128.wav,oscar hotel india contact rhein on one three two four good day ,"Switching to the mentioned frequency, thank you.",Frequency Change
/content/99/55/WAVdata/sm3/sm3_02/sm3_02_153.wav,delta india mike lima lima call milano on one three four five two ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_02/sm3_02_046.wav,hapag lloyd six five three call zurich on one three four six ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_02/sm3_02_113.wav,turkish five one five good morning radar contact ,"Roger, maintaining current altitude and heading.",Radar Contact
/content/99/55/WAVdata/sm3/sm3_02/sm3_02_032.wav,malaysian two call rhein on one two seven three seven good day ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_02/sm3_02_067.wav,~k ~l ~m three zero zero kilo call rhein one two seven three seven good day ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_02/sm3_02_004.wav,lufthansa eight two six eight climb to flight level two nine zero maintain present heading ,Climbing to requested flight level.,Climb Instruction
/content/99/55/WAVdata/sm3/sm3_02/sm3_02_005.wav,speedbird one five six call rhein on one two seven three seven good day ,"Acknowledged, proceeding as planned.",Speed Adjustment
/content/99/55/WAVdata/sm3/sm3_02/sm3_02_163.wav,alitalia two nine two rhein one two seven three seven ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_02/sm3_02_140.wav,lufthansa three six three eight guten morgen climb to flight level two seven zero ,Climbing to requested flight level.,Climb Instruction
/content/99/55/WAVdata/sm3/sm3_02/sm3_02_073.wav,sabena eight three two ah sorry ah proceed now direct to gotil ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_02/sm3_02_125.wav,hapag lloyd three five five one zurich one three three decimal four auf wiederhoren ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_02/sm3_02_025.wav,transwede one oh one call zurich on one three three four good day ,"Acknowledged, proceeding as planned.",General Information
/content/99/55/WAVdata/sm3/sm3_02/sm3_02_123.wav,speedbird one two four call rhein on one two seven three seven good day ,"Acknowledged, proceeding as planned.",Speed Adjustment
